127.0.0.1, 2011-01-21 21:52:28, GET, /, HTTP/1.1, 303, 0.002980
127.0.0.1, 2011-01-21 21:52:29, GET, /welcome/default/index, HTTP/1.1, 200, 1.037174
127.0.0.1, 2011-01-21 21:52:29, GET, /welcome/static/css/handheld.css, HTTP/1.1, 200, 0.002812
127.0.0.1, 2011-01-21 21:52:29, GET, /welcome/static/js/modernizr-1.6.min.js, HTTP/1.1, 200, 0.002628
127.0.0.1, 2011-01-21 21:52:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004066
127.0.0.1, 2011-01-21 21:52:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002518
127.0.0.1, 2011-01-21 21:52:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002452
127.0.0.1, 2011-01-21 21:52:29, GET, /welcome/static/css/base.css, HTTP/1.1, 200, 0.002300
127.0.0.1, 2011-01-21 21:52:29, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.005633
127.0.0.1, 2011-01-21 21:52:29, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.002647
127.0.0.1, 2011-01-21 21:52:31, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.017609
127.0.0.1, 2011-01-21 21:52:31, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.004149
127.0.0.1, 2011-01-21 21:52:31, GET, /welcome/static/images/logo.png, HTTP/1.1, 200, 0.012701
127.0.0.1, 2011-01-21 21:52:31, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.016156
127.0.0.1, 2011-01-21 21:52:31, GET, /welcome/static/favicon.ico, HTTP/1.1, 404, 0.002338
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/default/index, HTTP/1.1, 200, 0.450587
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.002537
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.002506
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.002374
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.002487
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.002206
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.004917
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.004299
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.006409
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.017890
127.0.0.1, 2011-01-21 21:55:02, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.004225
127.0.0.1, 2011-01-21 21:55:03, GET, /favicon.ico, HTTP/1.1, 400, 0.002721
127.0.0.1, 2011-01-21 21:55:03, GET, /favicon.ico, HTTP/1.1, 400, 0.003019
127.0.0.1, 2011-01-21 21:55:05, POST, /admin/default/index, HTTP/1.1, 303, 0.074410
127.0.0.1, 2011-01-21 21:55:05, GET, /admin/default/site, HTTP/1.1, 200, 0.132945
127.0.0.1, 2011-01-21 21:55:06, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.001910
127.0.0.1, 2011-01-21 21:55:06, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.005024
127.0.0.1, 2011-01-21 21:55:06, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.002523
127.0.0.1, 2011-01-21 21:55:06, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.005017
127.0.0.1, 2011-01-21 21:55:06, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.009839
127.0.0.1, 2011-01-21 21:55:06, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.006053
